Authors;Title;Year;Link;Abstract;Authors with Affiliations;aff_names;Affiliation type;Affiliation country;Western_flag;First Author Affiliation UN Category;UN Categories;dim_1;dim_2
"Alastair Porter;Mohamed Sordo;Xavier Serra";Dunya: A System to Browse Audio Music Collections Exploiting Cultural Context.;2013;https://doi.org/10.5281/zenodo.1417355;Music recommendation and discovery is an important MIR application with a strong impact in the music industry, but most music recommendation systems are still quite generic and without much musical knowledge. In this paper we present a web-based software application that lets users interact with an audio music collection through the use of musical concepts that are derived from a specific musical culture, in this case Carnatic music. The application includes a database containing information relevant to that music collection, such as audio recordings, editorial information, and metadata obtained from various sources. An analysis module extracts features from the audio recordings that are related to Carnatic music, which are then used to create musically meaningful relationships between all of the items in the database. The application displays the content of these items, allowing users to navigate through the collection by identifying and showing other information that is related to the currently viewed item, either by showing the relationships between them or by using culturally relevant similarity measures. The basic architecture and the design principles developed are reusable for other music collections with different characteristics.;"Alastair Porter, Universitat Pompeu Fabra, ESP, education;Mohamed Sordo, Universitat Pompeu Fabra, ESP, education;Xavier Serra, Universitat Pompeu Fabra, ESP, education";Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra;education, education, education;ESP, ESP, ESP;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-34.850185;7.683025
"Sertan Sentürk;Sankalp Gulati;Xavier Serra";Score Informed Tonic Identification for Makam Music of Turkey.;2013;https://doi.org/10.5281/zenodo.1416950;Tonic is a fundamental concept in many music traditions and its automatic identiﬁcation should be relevant for establishing the reference pitch when we analyse the melodic content of the music. In this paper, we present two methodologies for the identiﬁcation of the tonic in audio recordings of makam music of Turkey, both taking advantage of some score information. First, we compute a prominent pitch and a audio kernel-density pitch class distribution (KPCD) from the audio recording. The peaks in the KPCD are selected as tonic candidates. The ﬁrst method computes a score KPCD from the monophonic melody extracted from the score. Then, the audio KPCD is circular-shifted with respect to each tonic candidate and compared with the score KPCD. The best matching shift indicates the estimated tonic. The second method extracts the monophonic melody of the most repetitive section of the score. Normalising the audio prominent pitch with respect to each tonic candidate, the method attempts to link the repetitive structural element given in the score with the respective time-intervals in the audio recording. The result producing the most conﬁdent links marks the estimated tonic. We have tested the methods on a dataset of makam music of Turkey, achieving a very high accuracy (94.9%) with the ﬁrst method, and almost perfect identiﬁcation (99.6%) with the second method. We conclude that score informed tonic identiﬁcation can be a useful ﬁrst step in the computational analysis (e.g. expressive analysis, intonation analysis, audio-score alignment) of music collections involving melody-dominant content.;"Sertan S¸ent¨urk, Universitat Pompeu Fabra, ESP, education;Sankalp Gulati, Universitat Pompeu Fabra, ESP, education;Xavier Serra, Universitat Pompeu Fabra, ESP, education";Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra;education, education, education;ESP, ESP, ESP;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-20.471361;-12.338482
"Dmitry Bogdanov;Nicolas Wack;Emilia Gómez;Sankalp Gulati;Perfecto Herrera;Oscar Mayor;Gerard Roma;Justin Salamon;José R. Zapata;Xavier Serra";Essentia: An Audio Analysis Library for Music Information Retrieval.;2013;https://doi.org/10.5281/zenodo.1415016;We present Essentia 2.0, an open-source C++ library for audio analysis and audio-based music information retrieval released under the Affero GPL license. It contains an extensive collection of reusable algorithms which implement audio input/output functionality, standard digital signal processing blocks, statistical characterization of data, and a large set of spectral, temporal, tonal and high-level music descriptors. The library is also wrapped in Python and includes a number of predefined executable extractors for the available music descriptors, which facilitates its use for fast prototyping and allows setting up research experiments very rapidly. Furthermore, it includes a Vamp plugin to be used with Sonic Visualiser for visualization purposes. The library is cross-platform and currently supports Linux, Mac OS X, and Windows systems. Essentia is designed with a focus on the robustness of the provided music descriptors and is optimized in terms of the computational cost of the algorithms. The provided functionality, specifically the music descriptors included in-the-box and signal processing algorithms, is easily expandable and allows for both research experiments and development of large-scale industrial applications.;"Dmitry Bogdanov, Universitat Pompeu Fabra, ESP, education;Nicolas Wack, ;Emilia Gómez, Universitat Pompeu Fabra, ESP, education;Sankalp Gulati, Universitat Pompeu Fabra, ESP, education;Perfecto Herrera, Universitat Pompeu Fabra, ESP, education;Oscar Mayor, Universitat Pompeu Fabra, ESP, education;Gerard Roma, Universitat Pompeu Fabra, ESP, education;Justin Salamon, Universitat Pompeu Fabra, ESP, education;José Zapata, Universitat Pompeu Fabra, ESP, education;Xavier Serra, Universitat Pompeu Fabra, ESP, education";Universitat Pompeu Fabra,Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra;education, education, education, education, education, education, education, education, education, education;ESP, ESP, ESP, ESP, ESP, ESP, ESP, ESP, ESP, ESP;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies;-30.383043;2.7420602
"Boyang Gao;Emmanuel Dellandréa;Liming Chen";Sparse Music Decomposition onto a MIDI Dictionary Driven by Statistical Music Knowledge.;2013;https://doi.org/10.5281/zenodo.1416994;The general goal of music signal decomposition is to represent the music structure into a note level to provide valuable semantic features for further music analysis tasks. In this paper, we propose a new method to sparsely decompose the music signal onto a MIDI dictionary made of musical notes. Statistical music knowledge is further integrated into the whole sparse decomposition process. The proposed method is divided into a frame level sparse decomposition stage and a whole music level optimal note path searching. In the first stage note co-occurrence probabilities are embedded to generate a sparse multiple candidate graph while in the second stage note transition probabilities are incorporated into the optimal path searching. Experiments on real-world polyphonic music show that embedding music knowledge within the sparse decomposition achieves notable improvement in terms of note recognition precision and recall.;"Boyang Gao, Université de Lyon, CNRS, Ecole centrale de Lyon, LIRIS, UMR5205, FRA, education;Emmanuel Dellandréa, Université de Lyon, CNRS, Ecole centrale de Lyon, LIRIS, UMR5205, FRA, education;Liming Chen, Université de Lyon, CNRS, Ecole centrale de Lyon, LIRIS, UMR5205, FRA, education";Université de Lyon, Université de Lyon, Université de Lyon;education, education, education;FRA, FRA, FRA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;25.526833;-23.576248
"Nicolas Boulanger-Lewandowski;Yoshua Bengio;Pascal Vincent";Audio Chord Recognition with Recurrent Neural Networks.;2013;https://doi.org/10.5281/zenodo.1418319;In this paper, we present an audio chord recognition system based on a recurrent neural network. The audio features are obtained from a deep neural network optimized with a combination of chromagram targets and chord information, and aggregated over different time scales. Contrarily to other existing approaches, our system incorporates acoustic and musicological models under a single training objective. We devise an efficient algorithm to search for the global mode of the output distribution while taking long-term dependencies into account. The resulting method is competitive with state-of-the-art approaches on the MIREX dataset in the major/minor prediction task.;"Nicolas Boulanger-Lewandowski, Université de Montréal, CAN, education;Yoshua Bengio, Université de Montréal, CAN, education;Pascal Vincent, Université de Montréal, CAN, education";Université de Montréal, Université de Montréal, Université de Montréal;education, education, education;CAN, CAN, CAN;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;29.274178;-56.954563
"John Ashley Burgoyne;Dimitrios Bountouridis;Jan Van Balen;Henkjan Honing";Hooked: A Game For Discovering What Makes Music Catchy.;2013;https://doi.org/10.5281/zenodo.1417599;Although there has been some empirical research on earworms, songs that become caught and replayed in one’s memory over and over again, there has been surprisingly little empirical research on the more general concept of the musical hook, the most salient moment in a piece of music, or the even more general concept of what may make music ‘catchy’. Almost by definition, people like catchy music, and thus this question is a natural candidate for approaching with ‘gamification’. We present the design of Hooked, a game we are using to study musical catchiness, as well as the theories underlying its design and the results of a pilot study we undertook to check its scientific validity. We found significant differences in time to recall pieces of music across different segments, identified parameters for making recall tasks more or less challenging, and found that players are not as reliable as one might expect at predicting their own recall performance.;"John Ashley Burgoyne, University of Amsterdam, NLD, education;Dimitrios Bountouridis, Utrecht University, NLD, education;Jan Van Balen, Utrecht University, NLD, education;Henkjan Honing, University of Amsterdam, NLD, education";University of Amsterdam, Utrecht University, Utrecht University, University of Amsterdam;education, education, education, education;NLD, NLD, NLD, NLD;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;-25.738497;27.033197
"Maria Panteli;Hendrik Purwins";A Computational Comparison of Theory And Practice of Scale Intonation in Byzantine Chant.;2013;https://doi.org/10.5281/zenodo.1417040;Byzantine Chant performance practice is quantitatively compared to the Chrysanthine theory. The intonation of scale degrees is quantiﬁed, based on pitch class proﬁles. An analysis procedure is introduced that consists of the following steps: 1) Pitch class histograms are calculated via non-parametric kernel smoothing. 2) Histogram peaks are detected. 3) Phrase ending analysis aids the ﬁnding of the tonic to align histogram peaks. 4) The theoretical scale degrees are mapped to the practical ones. 5) A schema of statistical tests detects signiﬁcant deviations of theoretical scale tuning from the estimated ones in performance practice. The analysis of 94 echoi shows a tendency of the singer to level theoretic particularities of the echos that stand out of the general norm in the octoechos: theoretically extremely large scale steps are diminished in performance.;"Maria Panteli, University of Cyprus, CYP, education;Hendrik Purwins, Berlin Institute of Technology, DEU, education; Aalborg University Copenhagen, DNK, education";University of Cyprus, Technische Universität Berlin;education, education;CYP, DEU;NOT_FOUND;Developed economies;Developed economies, Developed economies;-10.459691;-12.486908
"Antti Laaksonen;Kjell Lemström";On Finding Symbolic Themes Directly From Audio Files Using Dynamic Programming.;2013;https://doi.org/10.5281/zenodo.1418349;In this paper our goal is to ﬁnd occurrences of a theme within a musical work. The theme is given in a symbolic form that is searched for directly in an audio ﬁle. We present a dynamic programming algorithm that is related to an existing time-warp invariant algorithm. However, the new algorithm is computationally more efﬁcient than its predecessor, and it can also be used for approximate timescale invariant search. In the latter case the note durations in the query are taken into account, but some time jittering is allowed for. When dealing with audio, these are important properties because the number of possible note events is large and the note positions are not exact. We evaluate the algorithm using a collection of themes from Tchaikovsky’s symphonies. The new approximate timescaled algorithm seems to be a good choice for this setting.;"Antti Laaksonen, University of Helsinki, FIN, education;Kjell Lemström, Laurea University of Applied Sciences, FIN, education, University of Helsinki, FIN, education";University of Helsinki, Laurea University of Applied Sciences;education, education;FIN, FIN;NOT_FOUND;Developed economies;Developed economies, Developed economies;-0.3850429;-5.5365386
"Pasi Saari;Tuomas Eerola;György Fazekas;Mathieu Barthet;Olivier Lartillot;Mark B. Sandler";The Role of Audio and Tags in Music Mood Prediction: A Study Using Semantic Layer Projection.;2013;https://doi.org/10.5281/zenodo.1418049;Semantic Layer Projection (SLP) is a method for automatically annotating music tracks according to expressed mood based on audio. We evaluate this method by comparing it to a system that infers the mood of a given track using associated tags only. SLP differs from conventional auto-tagging algorithms in that it maps audio features to a low-dimensional semantic layer congruent with the circumplex model of emotion, rather than training a model for each tag separately. We build the semantic layer using two large-scale data sets – crowd-sourced tags from Last.fm, and editorial annotations from the I Like Music (ILM) production music corpus – and use subsets of these corpora to train SLP for mapping audio features to the semantic layer. The performance of the system is assessed in predicting mood ratings on continuous scales in the two data sets mentioned above. The results show that audio is in general more efficient in predicting perceived mood than tags. Furthermore, we analytically demonstrate the benefit of using a combination of semantic tags and audio features in automatic mood annotation.;"Pasi Saari, University of Jyväskylä, FIN, education;Tuomas Eerola, University of Jyväskylä, FIN, education;György Fazekas, Queen Mary University of London, GBR, education;Mathieu Barthet, Queen Mary University of London, GBR, education;Olivier Lartillot, University of Jyväskylä, FIN, education;Mark Sandler, Queen Mary University of London, GBR, education";University of Jyväskylä, University of Jyväskylä, Queen Mary University of London, Queen Mary University of London, University of Jyväskylä, Queen Mary University of London;education, education, education, education, education, education;FIN, FIN, GBR, GBR, FIN, GBR;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies;-25.742506;49.186066
"Tom Arjannikov;Chris Sanden;John Z. Zhang";Verifying Music Tag Annotation Via Association Analysis.;2013;https://doi.org/10.5281/zenodo.1417123;Music tags provide descriptive and rich information about a music piece, including its genre, artist, emotion, instrument, etc. While many work on automating it, at present, tag annotation is largely a manual process. It often involves judgements and opinions from people of different background and level of musical expertise. Therefore, the resulting tags are usually subjective, ambiguous, and error-prone. To deal with this situation, we seek automatic methods to verify and monitor this process. Furthermore, because multiple tags can annotate each music piece, our task lends itself to multi-label methods which capture the inherent associations among annotations in a given music repository. In this paper, we propose a novel approach to verify the quality of music tag annotations via association analysis. We demonstrate the effectiveness of our approach through a series of simulations using four publicly available music datasets. To our knowledge, our work is among the initial efforts in verifying music tag annotations.;"Tom Arjannikov, University of Lethbridge, CAN, education;Chris Sanden, University of Lethbridge, CAN, education;John Z. Zhang, University of Lethbridge, CAN, education";University of Lethbridge, University of Lethbridge, University of Lethbridge;education, education, education;CAN, CAN, CAN;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-20.420498;31.278824
"Sebastian Stober;Thomas Low;Tatiana Gossen;Andreas Nürnberger";Incremental Visualization of Growing Music Collections.;2013;https://doi.org/10.5281/zenodo.1415110;Map-based visualizations – sometimes also called projections – are a popular means for exploring music collections. But how useful are they if the collection is not static but grows over time? Ideally, a map that a user is already familiar with should be altered as little as possible and only as much as necessary to reﬂect the changes of the underlying collection. This paper demonstrates to what extent existing approaches are able to incrementally integrate new songs into existing maps and discusses their technical limitations. To this end, Growing Self-Organizing Maps, (Landmark) Multidimensional Scaling, Stochastic Neighbor Embedding, and the Neighbor Retrieval Visualizer are considered. The different algorithms are experimentally compared based on objective quality measurements as well as in a user study with an interactive user interface. In the experiments, the well-known Beatles corpus comprising the 180 songs from the twelve ofﬁcial albums is used – adding one album at a time to the collection.;"Sebastian Stober, University of Magdeburg, DE, education;Thomas Low, University of Magdeburg, DE, education;Tatiana Gossen, University of Magdeburg, DE, education;Andreas N¨urnberger, University of Magdeburg, DE, education";University of Magdeburg, University of Magdeburg, University of Magdeburg, University of Magdeburg;education, education, education, education;DEU, DEU, DEU, DEU;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;-36.54426;3.9663174
"Yajie Hu;Dingding Li;Mitsunori Ogihara";Evaluation on Feature Importance for Favorite Song Detection.;2013;https://doi.org/10.5281/zenodo.1416300;Detecting whether a song is favorite for a user is an important but also challenging task in music recommendation. One of critical steps to do this task is to select important features for the detection. This paper presents two methods to evaluate feature importance, in which we compared nine available features based on a large user log in the real world. The set of features includes song metadata, acoustic feature, and user preference used by Collaborative Filtering techniques. The evaluation methods are designed from two views: i) the correlation between the estimated scores by song similarity in respect of a feature and the scores estimated by real play count, ii) feature selection methods over a binary classification problem, i.e., “like” or “dislike”. The experimental results show the user preference is the most important feature and artist similarity is of the second importance among these nine features.;"Yajie Hu, University of Miami, USA, education;Dingding Li, University of Miami, USA, education;Ogihara Mitsunori, University of Miami, USA, education";University of Miami, University of Miami, University of Miami;education, education, education;USA, USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-12.902396;22.744978
"Stéphane Dupont;Thierry Ravet";Improved Audio Classification Using a Novel Non-Linear Dimensionality Reduction Ensemble Approach.;2013;https://doi.org/10.5281/zenodo.1417705;Two important categories of machine learning methodologies have recently attracted much interest in classiﬁcation research and its applications. On one side, unsupervised and semi-supervised learning allow to beneﬁt from the availability of larger sets of training data, even if not fully annotated with class labels, and of larger sets of diverse feature representations, through novel dimensionality reduction schemes. On the other side, ensemble methods allow to beneﬁt from more diversity in base learners though larger data and feature sets. In this paper, we propose a novel ensemble learning approach making use of recent non-linear dimensionality reduction methods. More precisely, we apply t-SNE (t-distributed Stochastic Neighbor Embedding) to a large feature set to come up with embeddings of various dimensionality. A k-NN classiﬁer is then obtained for each embedding, leading to an ensemble whose estimates can then be combined, making use of various ensemble combination rules from the literature. The rationale of this approach resides in its potential capacity to better handle manifolds of different dimensionality in different regions of the feature space. We evaluate the approach on a transductive audio classiﬁcation task, where only part of the whole data set is labeled. We conﬁrm that dimensionality reduction by itself can improve performance (by 40% relative), and that creating an ensemble through the proposed approach further reduces classiﬁcation error rate by about 10% relative.;"Stéphane Dupont, University of Mons, BEL, education;Thierry Ravet, University of Mons, BEL, education";University of Mons, University of Mons;education, education;BEL, BEL;NOT_FOUND;Developed economies;Developed economies, Developed economies;8.133429;26.61379
"Nicola Orio;Roberto Piva";Combining Timbric and Rhythmic Features for Semantic Music Tagging.;2013;https://doi.org/10.5281/zenodo.1415834;In this paper we propose a novel approach to music tagging. The approach uses a statistical framework to model two acoustic features: timbre and rhythm. A collection of tagged music is thus represented as a graph where the states correspond to the songs and the models probabilities are related to the timbric and rhythmic similarity. Under the assumption that acoustically similar songs have similar tags, we infer the tags of a new song by adding it to the graph structure and observing the tags visited in acoustically meaningful random walks. The approach has been tested using the CAL500 dataset, with encouraging results in terms of precision.;"Nicola Orio, University of Padova, ITA, education;Roberto Piva, University of Padova, ITA, education";University of Padova,University of Padova;education, education;ITA, ITA;NOT_FOUND;Developed economies;Developed economies, Developed economies;-22.904692;32.244812
"Véronique Sébastien;Didier Sébastien;Noël Conruyt";Annotating Works for Music Education: Propositions for a Musical Forms and Structures Ontology and a Musical Performance Ontology.;2013;https://doi.org/10.5281/zenodo.1418199;Web applications and mobile tablets are changing the way musicians practice their instrument. Now, they can access instantaneously thousands of musical scores online and play them while watching their tablet, put on their music stand. However musicians may have difficulties in getting appropriate tips and advice to play the chosen piece correctly. This is why we conceived a collaborative platform to annotate digital scores on tablets in previous work. However, we noticed that the current Music Ontology (MO) do not allow to tag these annotations appropriately. Thus, we present in this paper a proposition for a Musical Forms and Structures Ontology (MFSO) and a Musical Performance Ontology (MPO) based on music practice. A construction methodology and a model are first detailed. Then, a practical use case is presented. Lastly, inherent theoretical and practical difficulties encountered during the ontology framework’s conception are discussed.;"Véronique Sébastien, University of Reunion Island, FRA, education;Didier Sébastien, University of Reunion Island, FRA, education;Noël Conruyt, University of Reunion Island, FRA, education";University of Reunion Island, University of Reunion Island, University of Reunion Island;education, education, education;FRA, FRA, FRA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-49.25561;5.8334804
Richard Polfreman;Comparing Onset Detection & Perceptual Attack Time.;2013;https://doi.org/10.5281/zenodo.1415232;Accurate performance timing is associated with the perceptual attack time (PAT) of notes, rather than their physical or perceptual onsets (PhOT, POT). Since manual annotation of PAT for analysis is both time-consuming and impractical for real-time applications, automatic transcription is desirable. However, computational methods for onset detection in audio signals are conventionally measured against PhOT or POT data. This paper describes a comparison between PAT and onset detection data to assess whether in some circumstances they are similar enough to be equivalent, or whether additional models for PAT-PhOT difference are always necessary. Eight published onset algorithms, and one commercial system, were tested with five onset types in short monophonic sequences. Ground truth was established by multiple human transcription of the audio for PATs using rhythm adjustment with synchronous presentation, and parameters for each detection algorithm manually adjusted to produce the maximum agreement with the ground truth. Results indicate that for percussive attacks, a number of algorithms produce data close to or within the limits of human agreement and therefore may be substituted for PATs, while for non-percussive sounds corrective measures are necessary to match detector outputs to human estimates.;Dr Richard Polfreman, University of Southampton, GBR, education;University of Southampton;education;GBR;NOT_FOUND;Developed economies;Developed economies;45.719276;5.837948
"Sally Jo Cunningham;Jin Ha Lee";Influences of ISMIR and MIREX Research on Technology Patents.;2013;https://doi.org/10.5281/zenodo.1417303;Much of the current Music Information Retrieval (MIR) research aims to contribute to the field by creating practical music applications or algorithms that can be used as part of such applications. Understanding how academic research results influence and translate to commercial products can be useful for MIR researchers, especially when we try to measure the impact of our research. This study aims to improve our understanding of the commercial influence of academic MIR research by analyzing the patents citing publications from ISMIR (International Society for Music Information Retrieval) Conference proceedings and its associated MIREX (Music Information Retrieval Evaluation eXchange) MIR algorithm trials. In this paper, we provide our preliminary analyses of the relevant patents as well as the ISMIR publications that are referenced in those patents.;"Sally Jo Cunningham, University of Waikato, NZL, education;Jin Ha Lee, University of Washington, USA, education";University of Waikato, University of Washington;education, education;NZL, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies;-62.785603;-6.005247
"Jin Ha Lee;Kahyun Choi;Xiao Hu;J. Stephen Downie";K-Pop Genres: A Cross-Cultural Exploration.;2013;https://doi.org/10.5281/zenodo.1416222;Current music genre research tends to focus heavily on classical and popular music from Western cultures. Few studies discuss the particular challenges and issues related to non-Western music. The objective of this study is to improve our understanding of how genres are used and perceived in different cultures. In particular, this study attempts to fill gaps in our understanding by examining K-pop music genres used in Korea and comparing them with genres used in North America. We provide back-ground information on K-pop genres by analyzing 602 genre-related labels collected from eight major music dis-tribution websites in Korea. In addition, we report upon a user study in which American and Korean users annotat-ed genre information for 1894 K-pop songs in order to understand how their perceptions might differ or agree. The results show higher consistency among Korean users than American users demonstrated by the difference in Fleiss’ Kappa values and proportion of agreed genre la-bels. Asymmetric disagreements between Americans and Koreans on specific genres reveal some interesting differ-ences in the perception of genres. Our findings provide some insights into challenges developers may face in cre-ating global music services.;"Jin Ha Lee, University of Washington, USA, education;Kahyun Choi, University of Illinois, USA, education;Xiao Hu, University of Hong Kong, HKG, education;J. Stephen Downie, University of Illinois, USA, education";University of Washington, University of Illinois, University of Hong Kong, University of Illinois;education, education, education, education;USA, USA, CHN, USA;FOUND;Developed economies;Developed economies, Developed economies, Developing economies, Developed economies;-19.518963;49.796127
"Jan Van Balen;John Ashley Burgoyne;Frans Wiering;Remco C. Veltkamp";An Analysis of Chorus Features in Popular Song.;2013;https://doi.org/10.5281/zenodo.1415624;This paper presents a computational study of the perceptual and musicological audio features that correlate with the structural function of sections in pop songs, specifically the chorus. Choruses have been described as more prominent, more catchy and more memorable than other sections in a song, yet chorus detection applications have always been primarily based on identifying the most-repeated section in a song. Inspired by cognitive research rather than applied signal processing, this computational analysis compiles a list of robust and interpretable features and models their influence on the ‘chorusness’ of a collection of song sections from the Billboard dataset. This is done through the unsupervised learning of a probabilistic graphical model. We show that timbre and timbre variety are more strongly related to chorus qualities than harmony and absolute pitch height. A regression and a classification experiment are performed to quantify these relations.;"Jan Van Balen, Utrecht University, NLD, education;John Ashley Burgoyne, Universiteit van Amsterdam, NLD, education;Frans Wiering, Utrecht University, NLD, education;Remco C. Veltkamp, Utrecht University, NLD, education";Utrecht University, University of Amsterdam, Utrecht University, Utrecht University;education, education, education, education;NLD, NLD, NLD, NLD;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;2.8213682;43.47898
"Anja Volk;W. Bas de Haas";A Corpus-Based Study on Ragtime Syncopation.;2013;https://doi.org/10.5281/zenodo.1415846;This paper presents a corpus-based study on syncopation patterns in ragtime. We discuss open questions on the ragtime genre and the potential of computational tools in addressing these questions, contributing to the ﬁelds of Musicology and Music Information Retrieval (MIR), and giving back to the ragtime enthusiasts community. We introduce the RAG-collection of around 11000 ragtime MIDI ﬁles collected, organised, and distributed by many ragtime lovers around the world. The collection is accompanied by a compendium, providing useful metadata on ragtime compositions. Using this collection and the compendium, we investigate syncopation patterns in ragtime melodies, for which we tailored a melody extraction algorithm. We test and conﬁrm musicological hypotheses about the occurrence of syncopation patterns that are considered typical for ragtime on the extracted melodies. Thus, the paper presents a ﬁrst step towards modelling typical characteristics of the ragtime genre, which is an important means for enabling automatic genre classiﬁcation.;"Anja Volk, Utrecht University, NLD, education;W. Bas de Haas, Utrecht University, NLD, education";Utrecht University, Utrecht University;education, education;NLD, NLD;NOT_FOUND;Developed economies;Developed economies, Developed economies;36.008816;24.089132
"Dimitrios Bountouridis;Remco C. Veltkamp;Jan Van Balen";Placing Music Artists and Songs in Time Using Editorial Metadata and Web Mining Techniques.;2013;https://doi.org/10.5281/zenodo.1414948;This paper investigates the novel task of situating music artists and songs in time, thereby adding contextual information that typically correlates with an artist’s similarities, collaborations and influences. The proposed method makes use of editorial metadata in conjunction with web mining techniques, aiming to infer an artist’s productivity over time and estimate the original year of release of a song. Experimental evaluation over a set of Dutch and American music confirms the practicality and reliability of the proposed methods. As a consequence, large-scale correlational analyses between artist productivity and other musical characteristics (e.g. versatility, eminence) become possible.;"Dimitrios Bountouridis, Utrecht University, NLD, education;Remco C. Veltkamp, Utrecht University, NLD, education;Jan Van Balen, Utrecht University, NLD, education";Utrecht University, Utrecht University, Utrecht University;education, education, education;NLD, NLD, NLD;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-52.197693;10.885125
Olivier Lartillot;In-depth Motivic Analysis based on Multiparametric Closed Pattern and Cyclic Sequence Mining.;2014;https://doi.org/10.5281/zenodo.1418345;The paper describes a computational system for exhaustive but compact description of repeated motivic patterns in symbolic representations of music. The approach follows a method based on closed heterogeneous pattern mining in multiparametrical space with control of pattern cyclicity. This paper presents a much simpler description and justification of this general strategy, as well as significant simplifications of the model, in particular concerning the management of pattern cyclicity. A new method for automated bundling of patterns belonging to same motivic or thematic classes is also presented. The good performance of the method is shown through the analysis of a piece from the JKUPDD database. Ground-truth motives are detected, while additional relevant information completes the ground-truth musicological analysis. The system, implemented in Matlab, is made publicly available as part of MiningSuite, a new open-source framework for audio and music analysis.;Olivier Lartillot, Aalborg University, Department of Architecture, Design and Media Technology, DNK, education;Aalborg University;education;DNK;NOT_FOUND;Developed economies;Developed economies;-0.09741104;-7.277151
"Bob L. Sturm;Nick Collins";The Kiki-Bouba Challenge: Algorithmic Composition for Content-based MIR Research and Development.;2014;https://doi.org/10.5281/zenodo.1416364;We propose the “Kiki-Bouba Challenge” (KBC) for the research and development of content-based music information retrieval (MIR) systems. This challenge is unencumbered by several problems typically encountered in MIR research: insufﬁcient data, restrictive copyrights, imperfect ground truth, a lack of speciﬁc criteria for classes (e.g., genre), a lack of explicit problem deﬁnition, and irreproducibility. KBC provides a limitless amount of free data, a perfect ground truth, and well-speciﬁable and meaningful characteristics deﬁning each class. These ideal conditions are made possible by open source algorithmic composition — a hitherto under-exploited resource for MIR.;"Bob L. Sturm, Audio Analysis Lab, Aalborg University, Denmark, education;Nick Collins, Dept. Music, Durham University, UK, education";Aalborg University, Durham University;education, education;DNK, GBR;NOT_FOUND;Developed economies;Developed economies, Developed economies;-65.776054;-2.0785623
"Bob L. Sturm;Rolf Bardeli;Thibault Langlois;Valentin Emiya";Formalizing the Problem of Music Description.;2014;https://doi.org/10.5281/zenodo.1414914;The lack of a formalism for “the problem of music description” results in, among other things: ambiguity in what problem a music description system must address, how it should be evaluated, what criteria deﬁne its success, and the paradox that a music description system can reproduce the “ground truth” of a music dataset without attending to the music it contains. To address these issues, we formalize the problem of music description such that all elements of an instance of it are made explicit. This can thus inform the building of a system, and how it should be evaluated in a meaningful way. We provide illustrations of this formalism applied to three examples drawn from the literature.;"Bob L. Sturm, Aalborg University, DNK, education;Rolf Bardeli, Fraunhofer IAIS, DEU, company;Thibault Langlois, Lisbon University, PRT, education;Valentin Emiya, Aix-Marseille Universit´e, FRA, education";Aalborg University, Fraunhofer IAIS, Universidade de Lisboa, Aix-Marseille Universite;education, facility, education, education;DNK, DEU, PRT, FRA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;-2.653984;1.7013992
